file	Arabic.txt	English.txt	Spanish.txt	Urdu.txt
Joined_Success	تمت الإضافة بنجاح	Successfully joined.	Se unió con éxito.	کامیابی کے ساتھ شمولیت اختیار کی ھے
Mail_Sent_Success	تم إرسال الرسالة بنجاح	Mail successfully sent.	Correo enviado con éxito.	ای میل کامیابی سے بھیجی جا چکی ہے
MeetUp_Desc_Missing	شرح عن الاجتماع مفقود	Meetup description is missing.	Falta la descripción del MeetUp.	اجلاس کی تفصیل غائب ہے
Title	عنوان	Title	Título	عنوان
Issue_Duplicate	رقم النسخة موجود سابقاً	Issue number already exists.	Ya existe el número.	یہ ایشو پہلے ہی موجود ہے
IssueNumber	رقم النسخة/النشرة	Issue Number	Issue Number	ایشو نمبر
Save_Quiz	حفظ الاختبار	Save Quiz	Guardar prueba	ٹیسٹ محفوظ کریں
Progress	تقدم	Progress	Progreso	پیش رفت
Highest_Rated	تصنيفها من أعلى	Highest Rated	La mejor nota	سب سے زیادہ درجہ بندی
Edit_Member	تحرير عضو	Edit Member	Editar miembros	رکن کی ترمیم
select_communities	اختيار مجموعة/مجموعات	Select Community('ies)	Select Community('ies)	Select Community('ies)
Registered_Members	الأعضاء المسجلين	Registered Members	Miembros registrados	رجسٹرڈ اراکین
downloaded_by	تم التحميل بواسطة	Downloaded By	Downloaded By	Downloaded By
FeedbackSaved_Not_Resource	تم حفظ ملاحظتك بنجاح، المعلومات موجودة في الألبوم سابقاً	Successfully saved feedback. Resource already in shelf.	La retroalimentación se guardó con éxito y este recurso ya está en el estante.	کامیابی کے ساتھ آپ کی رائے محفوظ ہو چکی ہے، ریسورس شیلف میں پہلے سے ہی موجود ہے۔
Step	مرحلة	Step	Paso	مرحلہ
New_Step	خطوة جديدة	New Step	Paso nuevo	نیا مرحلہ
No_Member_Found	No members have been found for the selected options	No members have been found for the selected options	No members have been found for the selected options	No members have been found for the selected options
Day	يوم	Day	Día	دن
Added_Success	تمت الإضافة بنجاح	Added successfully.	Agregado con éxito.	کامیابی سے شامل ہو گیا ہے
Nation_Bell	بيل الدولي	Nation Bell	Nation Bell	Nation Bell
Config_Saved	تم حفظ الإعدادات	Configuration saved.	Configuración guardada.	تشکیلات محفوظ ھو چکی ہیں
Region	منطقة	Region	Lugar	علاقہ
Confirm_Survey	هل أنت متأكد من أنك تريد حذف هذا المجلد/البحث؟	Are you sure you want to delete this survey?	¿Desea eliminar esta encuesta?	کیا آپ کو یقین ہے کہ آپ یہ سروے حذف کرنا چاہتے ہیں؟
visits_past_twelve_months	مجموع عدد الزيارات في الأشهر 12 الماضية	Total Visits Past 12 Months	Total de visitas en los últimos 12 meses	کل گزشتہ 12 ماہ کا دورہ
No_Course_Pub	لا يوجد دورة تدريبية في هذه النشرة	No Course in this publication	No Course in this publication	No Course in this publication
courseFull_msg	اكتمل عدد هذه الدورة التدريبية	this Course Was Full.	this Course Was Full.	یہ کورس مکمل ہے
Event_Updated_Success	تم تحديث الموضوع بنجاح	Event successfully updated.	Evento actualizado con éxito.	تقریب کامیابی سے اپ ڈیٹ ھو چکی ھے
Confirm_Resource	هل أنت متأكد من أنك تريد حذف هذا المجلد؟	Are you sure you want to delete this resource?	¿Desea eliminar este recurso?	کیا آپ کو یقین ہے کہ آپ اس ریسورس کو حذف کرنا چاہتے ہیں؟
time_Limit	لديك 20 ثانية	You have 20 seconds	Tienes 20 segundos	آپ کے پاس 20 سیکنڈ ہیں
Nation_reports	التقارير الدولية	Nation's Reports	Nation's Reports	Nation's Reports
Members_Count	عدد الأعضاء	Members Count	Cuenta de los miembros	اراکین کا شمار
level	مستوى (مستويات)	Level(s)	Nivel(es)	درجہ
Course_Admission_Req	طلب قبول في الدورة التدريبية	Course Admission Request	Requisitos de admisión del curso	کورس میں داخلہ کی درخواست
TempApp_Replication_Error	فشل نسخ التطبيقات المؤقتة	Temp apps replication failed.	No se reprodujeron las aplicaciones temporales.	عارضی ایپس نقل کرنے میں ناکامی
AddCourse_To_pubs_Failed	تعذر إضافة الدورة التدريبية إلى النشر	Failed to add the course to the publication.	Error al añadir el curso a la publicación.	کورس کو اشاعت میں شامل کرنے میں ناکامی ہے
Course	درس/ دورة تدريبية	Course	Curso	 کورس
Tag	إشارات	Tag	Etiqueta	ٹیگ
